iter	Passed	Remaining
0	150	149944
1	151	75635
2	152	50811
3	154	38409
4	155	30956
5	156	25988
6	158	22425
7	159	19758
8	161	17787
9	163	16161
10	164	14792
11	165	13658
12	167	12685
13	168	11848
14	169	11124
15	171	10531
16	172	9989
17	173	9490
18	175	9061
19	176	8656
20	178	8298
21	179	7975
22	181	7705
23	182	7425
24	183	7169
25	185	6935
26	186	6714
27	187	6511
28	188	6322
29	189	6142
30	191	5974
31	192	5814
32	193	5666
33	194	5525
34	195	5393
35	196	5272
36	198	5155
37	199	5048
38	200	4944
39	201	4843
40	203	4752
41	204	4664
42	205	4577
43	206	4496
44	208	4419
45	209	4343
46	210	4272
47	211	4203
48	213	4137
49	214	4078
50	216	4020
51	217	3969
52	218	3912
53	220	3857
54	221	3805
55	222	3754
56	224	3710
57	225	3664
58	226	3618
59	228	3577
60	229	3533
61	231	3496
62	232	3456
63	233	3415
64	234	3374
65	235	3335
66	236	3299
67	238	3266
68	239	3235
69	240	3200
70	242	3167
71	243	3137
72	245	3112
73	246	3082
74	247	3051
75	248	3021
76	249	2991
77	250	2962
78	251	2934
79	252	2909
80	254	2883
81	255	2860
82	256	2829
83	257	2807
84	258	2785
85	260	2764
86	261	2741
87	262	2719
88	263	2696
89	264	2675
90	265	2654
91	267	2635
92	268	2616
93	269	2596
94	270	2576
95	271	2558
96	273	2542
97	274	2524
98	275	2507
99	276	2490
100	277	2472
101	278	2455
102	280	2438
103	281	2424
104	282	2409
105	284	2395
106	285	2381
107	287	2373
108	288	2360
109	290	2347
110	291	2335
111	292	2321
112	294	2308
113	295	2295
114	296	2282
115	297	2269
116	298	2254
117	300	2244
118	301	2232
119	303	2222
120	304	2209
121	305	2195
122	306	2183
123	307	2171
124	308	2159
125	309	2148
126	310	2135
127	311	2124
128	313	2117
129	315	2110
130	316	2100
131	317	2089
132	318	2078
133	320	2068
134	321	2058
135	322	2047
136	323	2037
137	324	2027
138	325	2017
139	326	2008
140	328	2001
141	329	1991
142	331	1985
143	332	1977
144	333	1968
145	334	1959
146	336	1950
147	337	1941
148	338	1932
149	339	1924
150	341	1919
151	342	1911
152	344	1905
153	345	1898
154	346	1890
155	347	1882
156	349	1874
157	350	1866
158	351	1859
159	352	1851
160	353	1841
161	354	1835
162	355	1827
163	357	1820
164	358	1813
165	359	1807
166	360	1800
167	362	1793
168	363	1786
169	364	1779
170	365	1772
171	366	1764
172	367	1758
173	369	1754
174	371	1749
175	372	1745
176	374	1741
177	375	1736
178	377	1730
179	378	1724
180	379	1718
181	381	1714
182	382	1708
183	383	1702
184	384	1696
185	386	1690
186	387	1686
187	389	1681
188	390	1676
189	392	1671
190	393	1666
191	395	1662
192	396	1656
193	397	1651
194	399	1648
195	400	1642
196	402	1639
197	403	1634
198	404	1628
199	405	1622
200	406	1617
201	407	1611
202	409	1608
203	410	1603
204	412	1598
205	413	1592
206	414	1587
207	416	1584
208	417	1580
209	418	1575
210	420	1570
